City Id,City,Cloudiness,Country,Date,Humidity,lattitude,long,Max temp,Wind Speed
1,busselton,0,AU,1632186142,55,-33.65,115.3333,59.2,11.59
2,punta arenas,100,CL,1632186143,79,-53.15,-70.9167,48.88,16.13
3,qaanaaq,64,GL,1632186144,71,77.484,-69.3632,13.46,9.53
4,rikitea,15,PF,1632186145,76,-23.1203,-134.9692,73.99,11.61
5,yellowknife,100,CA,1632186071,73,62.456,-114.3525,44.11,4.18
6,albany,100,US,1632185954,84,42.6001,-73.9662,63.21,4.63
7,caravelas,5,BR,1632185872,84,-17.7125,-39.2481,72.05,4.41
8,avera,100,US,1632186146,97,33.194,-82.5271,74.71,10.65
9,jamestown,95,US,1632186051,91,42.097,-79.2353,69.12,12.19
10,lompoc,1,US,1632186146,64,34.6391,-120.4579,82.54,10.36
11,montbrison,92,FR,1632186147,96,45.6667,4.0833,57.54,5.75
12,saint-philippe,100,RE,1632186147,72,-21.3585,55.7679,65.79,12.12
13,carnarvon,0,AU,1632186148,33,-24.8667,113.6333,75.96,20.85
14,burnie,100,AU,1632186148,56,-41.0667,145.9167,50.79,11.7
15,tasiilaq,97,GL,1632186149,78,65.6145,-37.6368,37.56,9.13
16,port alfred,97,ZA,1632186149,57,-33.5906,26.891,59.27,24.83
17,yuancheng,0,CN,1632186150,29,36.652,107.7896,67.35,4.88
18,east london,9,ZA,1632186150,55,-33.0153,27.9116,57.63,25.72
19,husavik,100,IS,1632186150,86,66.0449,-17.3389,41.16,11.41
20,isangel,3,VU,1632186134,55,-19.55,169.2667,77.23,12.62
21,hoogeveen,68,NL,1632186151,70,52.6833,6.5833,49.91,0.49
22,thanh hoa,13,VN,1632186151,87,19.8,105.7667,79.81,3.89
23,esperance,0,AU,1632185852,58,-33.8667,121.9,51.64,13.42
24,prince rupert,90,CA,1632186152,94,54.3161,-130.3201,57.29,19.57
25,arraial do cabo,87,BR,1632186153,90,-22.9661,-42.0278,71.31,26.04
26,carballo,52,ES,1632186153,96,43.213,-8.691,58.69,2.57
27,phan thiet,100,VN,1632186153,80,10.9333,108.1,79.63,5.01
28,dikson,97,RU,1632186154,76,73.5069,80.5464,34.99,11.1
29,aasiaat,100,GL,1632185925,94,68.7098,-52.8699,28.74,5.3
30,norman wells,95,CA,1632186155,53,65.282,-126.8329,53.87,12.95
31,new norfolk,100,AU,1632186155,58,-42.7826,147.0587,49.5,8.93
32,ushuaia,100,AR,1632186101,96,-54.8,-68.3,40.77,6.73
33,bredasdorp,16,ZA,1632186156,73,-34.5322,20.0403,46.09,4.18
34,koping,100,SE,1632186156,79,59.514,15.9926,46.85,3.22
35,puerto ayora,40,EC,1632186156,83,-0.7393,-90.3518,68.09,10.4
36,itarema,36,BR,1632186157,81,-2.9248,-39.9167,78.53,14.92
37,bambous virieux,20,MU,1632185927,68,-20.3428,57.7575,68.25,14.97
38,vaini,96,TO,1632186157,76,-21.2,-175.2,71.92,21.03
39,airai,46,TL,1632186158,31,-8.9266,125.4092,73.47,5.84
40,abha,1,SA,1632186158,32,18.2164,42.5053,66.07,7.63
