,unitid,year,grad_cohort,grad_100,grad_150,grad_100_rate,grad_150_rate
0,100654,2002,716.0,147.0,278.0,20.5,38.8
1,100654,2003,789.0,159.0,300.0,20.2,38.0
2,100654,2004,995.0,182.0,326.0,18.3,32.8
3,100654,2005,1111.0,97.0,355.0,8.7,32.0
4,100654,2006,1020.0,118.0,342.0,11.6,33.5
5,100654,2007,1038.0,138.0,345.0,13.3,33.2
6,100654,2008,1043.0,118.0,339.0,11.3,32.5
7,100654,2009,1287.0,112.0,370.0,8.7,28.7
8,100654,2010,1198.0,146.0,396.0,12.2,33.1
9,100654,2011,1088.0,116.0,345.0,10.7,31.7
10,100654,2012,1133.0,110.0,365.0,9.7,32.2
11,100654,2013,882.0,88.0,257.0,10.0,29.1
12,100663,2002,1027.0,134.0,386.0,13.1,37.7
13,100663,2003,1115.0,161.0,430.0,14.4,38.6
14,100663,2004,1076.0,164.0,406.0,15.2,37.7
15,100663,2005,1143.0,163.0,410.0,14.3,35.9
16,100663,2006,1234.0,173.0,442.0,14.0,135.7
17,100663,2007,1224.0,175.0,461.0,14.3,37.7
18,100663,2008,1398.0,228.0,557.0,16.3,39.8
19,100663,2009,1607.0,266.0,633.0,16.6,39.4
20,100663,2010,1536.0,284.0,627.0,18.5,90.8
21,100663,2011,1515.0,350.0,676.0,23.1,144.6
22,100663,2012,1485.0,378.0,715.0,25.5,148.1
23,100663,2013,1378.0,404.0,738.0,29.4,153.5
24,100690,2002,0.0,0.0,0.0,0.0,0.0
25,100690,2003,0.0,0.0,0.0,0.0,0.0
26,100690,2004,0.0,0.0,0.0,0.0,0.0
27,100690,2005,0.0,0.0,0.0,0.0,0.0
28,100690,2006,0.0,0.0,0.0,0.0,0.0
29,100690,2007,5.0,0.0,1.0,0.0,20.0
30,100690,2008,5.0,1.0,1.0,20.0,20.0
31,100690,2009,2.0,0.0,0.0,0.0,0.0
32,100690,2010,13.0,3.0,3.0,23.1,23.1
33,100690,2011,4.0,0.0,0.0,0.0,0.0
34,100690,2012,1.0,0.0,0.0,0.0,0.0
35,100690,2013,3.0,0.0,2.0,0.0,66.7
36,100706,2002,410.0,39.0,150.0,9.5,36.6
37,100706,2003,396.0,36.0,173.0,9.1,43.7
38,100706,2004,487.0,68.0,217.0,14.0,44.6
39,100706,2005,536.0,73.0,235.0,13.6,43.8
40,100706,2006,583.0,86.0,258.0,14.8,44.3
41,100706,2007,592.0,83.0,261.0,14.0,44.1
42,100706,2008,610.0,102.0,290.0,16.7,47.5
43,100706,2009,774.0,132.0,368.0,17.1,47.5
44,100706,2010,653.0,84.0,285.0,12.9,43.6
45,100706,2011,626.0,87.0,284.0,13.9,45.4
46,100706,2012,801.0,128.0,379.0,16.0,47.3
47,100706,2013,759.0,125.0,367.0,16.5,48.4
48,100724,2002,1067.0,68.0,221.0,6.4,20.7
49,100724,2003,954.0,42.0,202.0,4.4,21.2
50,100724,2004,1154.0,67.0,261.0,5.8,22.6
51,100724,2005,1172.0,101.0,268.0,8.6,22.9
52,100724,2006,1014.0,148.0,292.0,14.6,28.8
53,100724,2007,1263.0,147.0,345.0,11.6,27.3
54,100724,2008,1401.0,0.0,297.0,0.0,21.2
55,100724,2009,1187.0,85.0,258.0,7.2,21.7
