State,1-Jul-09,1-Jul-08,1-Jul-07,1-Jul-06,1-Jul-05,1-Jul-04,1-Jul-03,1-Jul-02
Alabama,"4,708,708","4,677,464","4,637,904","4,597,688","4,545,049","4,512,190","4,490,591","4,472,420"
Alaska,"698,473","688,125","682,297","677,325","669,488","661,569","650,884","642,691"
Arizona,"6,595,778","6,499,377","6,362,241","6,192,100","5,974,834","5,759,425","5,591,206","5,452,108"
Arkansas,"2,889,450","2,867,764","2,842,194","2,815,097","2,776,221","2,746,161","2,722,291","2,704,732"
California,"36,961,664","36,580,371","36,226,122","35,979,208","35,795,255","35,558,419","35,251,107","34,876,194"
Colorado,"5,024,748","4,935,213","4,842,259","4,753,044","4,660,780","4,599,681","4,548,775","4,504,265"
Connecticut,"3,518,288","3,502,932","3,488,633","3,485,162","3,477,416","3,474,610","3,467,673","3,448,382"
Delaware,"885,122","876,211","864,896","853,022","839,906","826,639","814,905","804,131"
District of Columbia,"599,657","590,074","586,409","583,978","582,049","579,796","577,777","579,585"
Florida,"18,537,969","18,423,878","18,277,888","18,088,505","17,783,868","17,375,259","16,981,183","16,680,309"
Georgia,"9,829,211","9,697,838","9,533,761","9,330,086","9,097,428","8,913,676","8,735,259","8,585,535"
Hawaii,"1,295,178","1,287,481","1,276,832","1,275,599","1,266,117","1,252,782","1,239,298","1,228,069"
Idaho,"1,545,801","1,527,506","1,499,245","1,464,413","1,425,862","1,391,718","1,364,109","1,342,149"
Illinois,"12,910,409","12,842,954","12,779,417","12,718,011","12,674,452","12,645,295","12,597,981","12,558,229"
Indiana,"6,423,113","6,388,309","6,346,113","6,301,700","6,253,120","6,214,454","6,181,789","6,149,007"
Iowa,"3,007,856","2,993,987","2,978,719","2,964,391","2,949,450","2,941,358","2,932,799","2,929,264"
Kansas,"2,818,747","2,797,375","2,775,586","2,755,700","2,741,771","2,730,765","2,721,955","2,712,598"
Kentucky,"4,314,113","4,287,931","4,256,278","4,219,374","4,182,293","4,147,970","4,118,627","4,091,330"
Louisiana,"4,492,076","4,451,513","4,376,122","4,240,327","4,497,691","4,489,327","4,474,726","4,466,068"
Maine,"1,318,301","1,319,691","1,317,308","1,314,963","1,311,631","1,308,253","1,303,102","1,293,938"
