,year,unitid,grad_cohort,grad_100,grad_150
0,2002,236207312,99217.0,18949.0,39044.0
1,2003,236207312,101789.0,19400.0,41177.0
2,2004,236207312,105268.0,20949.0,43186.0
3,2005,236207312,107844.0,21957.0,44600.0
4,2006,236207312,109861.0,23078.0,46809.0
5,2007,236207312,113010.0,23878.0,47848.0
6,2008,236207312,116202.0,24262.0,48389.0
7,2009,236207312,118541.0,25567.0,49888.0
8,2010,236207312,124577.0,26026.0,51323.0
9,2011,238870531,125960.0,26051.0,52023.0
10,2012,238870531,130446.0,27342.0,54720.0
11,2013,238870531,135278.0,28874.0,57506.0
